Time (s),Clean EEG Signal (µV),EOG Noise (µV),EMG Noise (µV),Composite Signal (µV),EOG SNR (dB),EMG SNR (dB)
0.0,0.0,0.0,0.0,0.0,-7.0,2.000000000000001
0.001,0.3139525976465669,0.07033103606182464,0.49777863084709933,0.8820622645554909,-7.0,2.000000000000001
0.002,0.6266661678215213,0.14065929557477158,0.9877069953271993,1.7550324587234922,-7.0,2.000000000000001
0.003,0.9369065729286232,0.21098200209957652,1.4620586304634302,2.60994720549163,-7.0,2.000000000000001
0.004,1.243449435824274,0.2812963794161976,1.9133527276057618,3.4380985428462334,-7.0,2.000000000000001
0.005,1.545084971874737,0.3515996516334159,2.334472109252233,4.231156732760386,-7.0,2.000000000000001
0.006,1.84062276342339,0.4218890432984228,2.718775471189755,4.981287277911568,-7.0,2.000000000000001
0.007,2.1288964578253635,0.49216177950638995,3.060202119828872,5.6812603571606255,-7.0,2.000000000000001
0.008,2.408768370508577,0.5624150860100182,3.3533675529621516,6.324551009480746,-7.0,2.000000000000001
0.009000000000000001,2.6791339748949836,0.6326461893290596,3.5936483765805405,6.905428540804584,-7.0,2.000000000000001
0.01,2.938926261462366,0.70285231685981,3.777255218558771,7.419033796880946,-7.0,2.000000000000001
0.011,3.1871199487434483,0.7730306969845666,3.9012924893174343,7.861443135045449,-7.0,2.000000000000001
0.012,3.4227355296434436,0.8431785591810472,3.963804047000394,8.229718135824886,-7.0,2.000000000000001
0.013000000000000001,3.644843137107058,0.9132931341317642,3.963804047000394,8.521940318239215,-7.0,2.000000000000001
0.014,3.852566213878947,0.9833716538333538,3.901292489317435,8.737230357029736,-7.0,2.000000000000001
0.015,4.045084971874738,1.0534113517058519,3.7772552185587713,8.875751542139362,-7.0,2.000000000000001
0.016,4.221639627510076,1.1234094627019142,3.59364837658054,8.93869746679253,-7.0,2.000000000000001
0.017,4.381533400219319,1.193363223415974,3.353367552962151,8.928264176597445,-7.0,2.000000000000001
0.018000000000000002,4.524135262330097,1.2632698721933384,3.060202119828872,8.84760725435231,-7.0,2.000000000000001
0.019,4.648882429441257,1.3331266492392129,2.7187754711897556,8.700784549870225,-7.0,2.000000000000001
0.02,4.755282581475767,1.4029307967276543,2.3344721092522334,8.492685487455654,-7.0,2.000000000000001
0.021,4.842915805643155,1.4726795589104429,1.9133527276057614,8.22894809215936,-7.0,2.000000000000001
0.022,4.911436253643443,1.5423701822258769,1.4620586304634309,7.915865066332752,-7.0,2.000000000000001
0.023,4.96057350657239,1.6119999154074778,0.9877069953271994,7.560280417307067,-7.0,2.000000000000001
0.024,4.990133642141359,1.6815660095926042,0.4977786308470987,7.1694782825810615,-7.0,2.000000000000001
0.025,5.0,1.7510657184309737,4.863857650637294e-16,6.751065718430975,-7.0,2.000000000000001
0.026000000000000002,4.990133642141359,1.8204962981930848,-0.49777863084709945,6.312851309487344,-7.0,2.000000000000001
0.027,4.96057350657239,1.8898550078785321,-0.9877069953271984,5.862721519123723,-7.0,2.000000000000001
0.028,4.911436253643443,1.9591391093242183,-1.46205863046343,5.408516732504231,-7.0,2.000000000000001
0.029,4.842915805643155,2.028345867312452,-1.9133527276057618,4.957908945349846,-7.0,2.000000000000001
0.03,4.755282581475768,2.097472549678928,-2.3344721092522325,4.518283021902464,-7.0,2.000000000000001
0.031,4.648882429441257,2.1665164274205915,-2.718775471189755,4.0966233856720935,-7.0,2.000000000000001
0.032,4.524135262330097,2.235474774803371,-3.0602021198288725,3.699407917304596,-7.0,2.000000000000001
0.033,4.381533400219317,2.3043448694697872,-3.3533675529621525,3.3325107167269525,-7.0,2.000000000000001
0.034,4.221639627510075,2.3731239925464265,-3.593648376580542,3.00111524347596,-7.0,2.000000000000001
0.035,4.045084971874738,2.4418094287512795,-3.777255218558771,2.7096391820672463,-7.0,2.000000000000001
0.036000000000000004,3.852566213878947,2.510398466500933,-3.901292489317435,2.461672191062445,-7.0,2.000000000000001
0.037,3.6448431371070593,2.5788883980176194,-3.963804047000394,2.2599274881242843,-7.0,2.000000000000001
0.038,3.4227355296434445,2.647276519436116,-3.963804047000394,2.1062080020791676,-7.0,2.000000000000001
0.039,3.1871199487434496,2.715560130910489,-3.901292489317435,2.0013875903365035,-7.0,2.000000000000001
0.04,2.9389262614623664,2.7837365367206783,-3.7772552185587713,1.9454075796242727,-7.0,2.000000000000001
0.041,2.6791339748949836,2.851803045378917,-3.5936483765805405,1.93728864369336,-7.0,2.000000000000001
0.042,2.4087683705085765,2.919756969735994,-3.353367552962151,1.9751577872824195,-7.0,2.000000000000001
0.043000000000000003,2.1288964578253626,2.98759562708733,-3.0602021198288716,2.056289965083821,-7.0,2.000000000000001
0.044,1.8406227634233907,3.055316339278891,-2.7187754711897565,2.177163631512525,-7.0,2.000000000000001
0.045,1.5450849718747377,3.122916432812919,-2.334472109252234,2.3335292954354228,-7.0,2.000000000000001
0.046,1.243449435824274,3.1903932389534666,-1.9133527276057618,2.520489947171979,-7.0,2.000000000000001
0.047,0.936906572928623,3.2577440938317697,-1.4620586304634298,2.732592036296963,-7.0,2.000000000000001
0.048,0.6266661678215205,3.3249663385513997,-0.9877069953271982,2.963925511045722,-7.0,2.000000000000001
0.049,0.31395259764656797,3.392057319293237,-0.49777863084710094,3.2082312860927042,-7.0,2.000000000000001
0.05,6.123233995736766e-16,3.4590143874202424,-9.727715301274588e-16,3.459014387420242,-7.0,2.000000000000001
0.051000000000000004,-0.31395259764656674,3.525834899582013,0.497778630847099,3.7096609327825454,-7.0,2.000000000000001
0.052000000000000005,-0.6266661678215214,3.592516217819145,0.9877069953271996,3.9535570453248234,-7.0,2.000000000000001
0.053,-0.9369065729286217,3.6590557096673697,1.4620586304634275,4.184207767202175,-7.0,2.000000000000001
0.054,-1.2434494358242731,3.725450748261484,1.9133527276057598,4.39535404004297,-7.0,2.000000000000001
0.055,-1.5450849718747364,3.7916987124390507,2.334472109252232,4.581085849816547,-7.0,2.000000000000001
0.056,-1.8406227634233898,3.857796986843878,2.7187754711897547,4.735949694610243,-7.0,2.000000000000001
0.057,-2.1288964578253635,3.9237429620292716,3.060202119828872,4.85504862403278,-7.0,2.000000000000001
0.058,-2.408768370508577,3.9895340345610486,3.353367552962152,4.934133217014622,-7.0,2.000000000000001
0.059000000000000004,-2.679133974894984,4.055167607120317,3.5936483765805414,4.969682008805874,-7.0,2.000000000000001
0.06,-2.9389262614623655,4.120641088606015,3.777255218558771,4.95897004570242,-7.0,2.000000000000001
0.061,-3.1871199487434483,4.185951894237203,3.9012924893174343,4.900124434811189,-7.0,2.000000000000001
0.062,-3.4227355296434436,4.251097445655104,3.963804047000394,4.792165963012053,-7.0,2.000000000000001
0.063,-3.6448431371070567,4.316075171024895,3.963804047000394,4.6350360809182325,-7.0,2.000000000000001
0.064,-3.852566213878947,4.380882505137239,3.9012924893174343,4.429608780575727,-7.0,2.000000000000001
0.065,-4.045084971874737,4.445516889509553,3.7772552185587713,4.177687136193588,-7.0,2.000000000000001
0.066,-4.2216396275100765,4.509975772487012,3.593648376580539,3.881984521557474,-7.0,2.000000000000001
0.067,-4.381533400219318,4.574256609343289,3.3533675529621516,3.546090762086122,-7.0,2.000000000000001
0.068,-4.524135262330099,4.638356862381012,3.0602021198288694,3.174423719879781,-7.0,2.000000000000001
0.069,-4.648882429441258,4.702274001031946,2.718775471189754,2.772167042780442,-7.0,2.000000000000001
0.07,-4.755282581475767,4.766005501956903,2.334472109252234,2.3451950297333695,-7.0,2.000000000000001
0.07100000000000001,-4.842915805643156,4.82954884914535,1.913352727605759,1.8999857711079529,-7.0,2.000000000000001
0.07200000000000001,-4.911436253643443,4.892901534014746,1.4620586304634302,1.4435239108347324,-7.0,2.000000000000001
0.073,-4.9605735065723895,4.956061055509568,0.987706995327202,0.9831945442643809,-7.0,2.000000000000001
0.074,-4.990133642141359,5.019024920200054,0.49777863084710494,0.5266699089058007,-7.0,2.000000000000001
0.075,-5.0,5.081790642380639,1.459157295191188e-15,0.0817906423806398,-7.0,2.000000000000001
0.076,-4.990133642141359,5.144355744168081,-0.497778630847095,-0.34355652882037274,-7.0,2.000000000000001
0.077,-4.96057350657239,5.206717755599291,-0.9877069953271993,-0.7415627463002984,-7.0,2.000000000000001
0.078,-4.911436253643443,5.2688742147288385,-1.462058630463427,-1.1046206693780325,-7.0,2.000000000000001
0.079,-4.842915805643155,5.330822667726147,-1.9133527276057627,-1.4254458655227715,-7.0,2.000000000000001
0.08,-4.755282581475768,5.392560668972365,-2.3344721092522316,-1.6971940217556354,-7.0,2.000000000000001
0.081,-4.648882429441257,5.454085781156913,-2.7187754711897574,-1.9135721194741013,-7.0,2.000000000000001
0.082,-4.524135262330097,5.515395575373712,-3.060202119828872,-2.068941806785258,-7.0,2.000000000000001
0.083,-4.381533400219317,5.5764876312170655,-3.3533675529621534,-2.1584133219644057,-7.0,2.000000000000001
0.084,-4.221639627510075,5.637359536877215,-3.5936483765805414,-2.177928467213402,-7.0,2.000000000000001
0.085,-4.045084971874738,5.698008889235553,-3.7772552185587704,-2.1243313011979548,-7.0,2.000000000000001
0.08600000000000001,-3.852566213878945,5.7584332939594995,-3.901292489317435,-1.995425409236881,-7.0,2.000000000000001
0.08700000000000001,-3.644843137107058,5.818630365597018,-3.963804047000394,-1.790016818510434,-7.0,2.000000000000001
0.088,-3.422735529643445,5.87859772767079,-3.963804047000394,-1.5079418489730483,-7.0,2.000000000000001
0.089,-3.187119948743452,5.938333012772049,-3.901292489317436,-1.1500794252888382,-7.0,2.000000000000001
0.09,-2.9389262614623672,5.997833862654018,-3.7772552185587718,-0.7183476173671204,-7.0,2.000000000000001
0.091,-2.679133974894986,6.057097928325025,-3.5936483765805427,-0.21568442315050404,-7.0,2.000000000000001
0.092,-2.408768370508577,6.116122870141236,-3.3533675529621516,0.3539869466705077,-7.0,2.000000000000001
0.093,-2.1288964578253653,6.174906357899011,-3.060202119828874,0.985807780244772,-7.0,2.000000000000001
0.094,-1.8406227634233896,6.23344607092691,-2.7187754711897543,1.6740478363137667,-7.0,2.000000000000001
0.095,-1.5450849718747386,6.2917396981773,-2.3344721092522343,2.4121826170503278,-7.0,2.000000000000001
0.096,-1.2434494358242727,6.349784938317589,-1.9133527276057594,3.192982774887557,-7.0,2.000000000000001
0.097,-0.9369065729286234,6.407579499821086,-1.4620586304634307,4.008614296429033,-7.0,2.000000000000001
0.098,-0.6266661678215233,6.4651211010574645,-0.9877069953272024,4.85074793790874,-7.0,2.000000000000001
0.099,-0.3139525976465663,6.522407470382833,-0.4977786308470984,5.710676241889169,-7.0,2.000000000000001
0.1,-1.2246467991473533e-15,6.5794363462294205,-1.9455430602549175e-15,6.579436346229419,-7.0,2.000000000000001
0.101,0.31395259764656835,6.636205477194859,0.49777863084710156,7.447936705688529,-7.0,2.000000000000001
0.10200000000000001,0.6266661678215208,6.6927126221310616,0.9877069953271989,8.307085785279783,-7.0,2.000000000000001
0.10300000000000001,0.9369065729286254,6.7489555502327025,1.4620586304634333,9.147920753624762,-7.0,2.000000000000001
0.10400000000000001,1.2434494358242745,6.8049320411252845,1.9133527276057622,9.96173420455532,-7.0,2.000000000000001
0.105,1.5450849718747361,6.860639884952788,2.3344721092522316,10.740196966079758,-7.0,2.000000000000001
0.106,1.840622763423387,6.916076882464935,2.718775471189751,11.475475117078073,-7.0,2.000000000000001
0.107,2.128896457825363,6.971240845103983,3.060202119828872,12.160339422758218,-7.0,2.000000000000001
0.108,2.4087683705085747,7.02612959509114,3.35336755296215,12.788265518561865,-7.0,2.000000000000001
0.109,2.6791339748949836,7.080740965512544,3.5936483765805405,13.353523316988069,-7.0,2.000000000000001
0.11,2.938926261462365,7.1350728004048,3.7772552185587704,13.851254280425936,-7.0,2.000000000000001
0.111,3.1871199487434496,7.1891229548401006,3.901292489317435,14.277535392900985,-7.0,2.000000000000001
0.112,3.422735529643443,7.242889295010889,3.963804047000394,14.629428871654728,-7.0,2.000000000000001
0.113,3.644843137107056,7.296369698314129,3.963804047000395,14.90501688242158,-7.0,2.000000000000001
0.114,3.852566213878947,7.349562053435062,3.9012924893174343,15.103420756631444,-7.0,2.000000000000001
0.115,4.045084971874736,7.402464260430591,3.7772552185587718,15.224804450864099,-7.0,2.000000000000001
0.116,4.2216396275100765,7.45507423081217,3.5936483765805396,15.270362234902787,-7.0,2.000000000000001
0.117,4.381533400219317,7.507389887628245,3.353367552962152,15.242290840809714,-7.0,2.000000000000001
0.11800000000000001,4.524135262330098,7.55940916554627,3.06020211982887,15.143746547705238,-7.0,2.000000000000001
0.11900000000000001,4.648882429441258,7.611130010934219,2.7187754711897543,14.978787911565231,-7.0,2.000000000000001
0.12,4.755282581475767,7.662550381941678,2.3344721092522347,14.75230507266968,-7.0,2.000000000000001
0.121,4.842915805643155,7.713668248580447,1.913352727605766,14.469936781829368,-7.0,2.000000000000001
0.122,4.911436253643443,7.764481592804676,1.462058630463431,14.13797647691155,-7.0,2.000000000000001
0.123,4.9605735065723895,7.814988408590545,0.9877069953272029,13.763268910490138,-7.0,2.000000000000001
0.124,4.990133642141359,7.865186702015445,0.4977786308470989,13.353098975003903,-7.0,2.000000000000001
0.125,5.0,7.915074491336706,2.4319288253186472e-15,12.915074491336709,-7.0,2.000000000000001
0.126,4.990133642141359,7.96464980706983,-0.49777863084709406,12.457004818364094,-7.0,2.000000000000001
0.127,4.96057350657239,8.013910692066231,-0.9877069953271982,11.986777203311423,-7.0,2.000000000000001
0.128,4.911436253643443,8.062855201590526,-1.4620586304634329,11.512232824770539,-7.0,2.000000000000001
0.129,4.842915805643155,8.111481403397283,-1.9133527276057618,11.041044481434676,-7.0,2.000000000000001
0.13,4.755282581475768,8.159787377807312,-2.334472109252231,10.58059785003085,-7.0,2.000000000000001
0.131,4.648882429441259,8.207771217783456,-2.718775471189751,10.137878176034965,-7.0,2.000000000000001
0.132,4.5241352623300966,8.255431029005884,-3.0602021198288756,9.719364171507102,-7.0,2.000000000000001
0.133,4.381533400219317,8.302764929946843,-3.3533675529621534,9.330930777204008,-7.0,2.000000000000001
0.134,4.221639627510076,8.349771051944982,-3.5936483765805405,8.977762302874519,-7.0,2.000000000000001
0.135,4.045084971874739,8.396447539279087,-3.7772552185587704,8.664277292595056,-7.0,2.000000000000001
0.136,3.8525662138789434,8.442792549241362,-3.901292489317436,8.39406627380287,-7.0,2.000000000000001
0.137,3.6448431371070553,8.488804252210171,-3.963804047000395,8.169843342316831,-7.0,2.000000000000001
0.138,3.4227355296434423,8.534480831722263,-3.963804047000394,7.993412314365311,-7.0,2.000000000000001
0.139,3.187119948743449,8.57982048454449,-3.901292489317435,7.8656479439705045,-7.0,2.000000000000001
0.14,2.9389262614623672,8.624821420744992,-3.7772552185587718,7.786492463648587,-7.0,2.000000000000001
0.14100000000000001,2.6791339748949783,8.669481863763863,-3.593648376580537,7.754967462078307,-7.0,2.000000000000001
0.14200000000000002,2.4087683705085734,8.713800050483286,-3.3533675529621485,7.76920086802971,-7.0,2.000000000000001
0.14300000000000002,2.1288964578253617,8.757774231297127,-3.0602021198288702,7.826468569293618,-7.0,2.000000000000001
0.14400000000000002,1.84062276342339,8.80140267018003,-2.718775471189755,7.923249962413666,-7.0,2.000000000000001
0.145,1.545084971874739,8.84468364475593,-2.334472109252235,8.055296507378435,-7.0,2.000000000000001
0.146,1.2434494358242776,8.887615446366059,-1.9133527276057665,8.217712154584568,-7.0,2.000000000000001
0.147,0.9369065729286284,8.9301963801364,-1.462058630463438,8.40504432260159,-7.0,2.000000000000001
0.148,0.6266661678215284,8.9724247650446,-0.9877069953272103,8.611383937538918,-7.0,2.000000000000001
0.149,0.31395259764656697,9.014298933986327,-0.49777863084709933,8.830472900785793,-7.0,2.000000000000001
0.15,1.8369701987210296e-15,9.055817233841093,-2.918314590382376e-15,9.055817233841092,-7.0,2.000000000000001
0.151,-0.3139525976465633,9.096978025537508,0.4977786308470936,9.280804058738036,-7.0,2.000000000000001
0.152,-0.626666167821516,9.137779684117996,0.987706995327191,9.498820511623672,-7.0,2.000000000000001
0.153,-0.9369065729286162,9.178220598802941,1.4620586304634193,9.703372656337747,-7.0,2.000000000000001
0.154,-1.2434494358242738,9.218299173054278,1.9133527276057614,9.888202464835766,-7.0,2.000000000000001
0.155,-1.5450849718747355,9.258013824638516,2.3344721092522307,10.047400962016011,-7.0,2.000000000000001
0.156,-1.8406227634233863,9.297362985689217,2.7187754711897507,10.175515693455582,-7.0,2.000000000000001
0.157,-2.1288964578253586,9.33634510276888,3.0602021198288663,10.267650764772387,-7.0,2.000000000000001
0.158,-2.408768370508578,9.374958636930266,3.353367552962153,10.31955781938384,-7.0,2.000000000000001
0.159,-2.6791339748949827,9.413202063777169,3.59364837658054,10.327716465462725,-7.0,2.000000000000001
0.16,-2.938926261462364,9.451073873524576,3.77725521855877,10.28940283062098,-7.0,2.000000000000001
0.161,-3.1871199487434456,9.488572571058288,3.9012924893174334,10.202745111632273,-7.0,2.000000000000001
